V1,V2,x_acc,y_acc,z_acc,angle_degrees,observed_frequency,gain,observed_frequency_t5,gain_t5,angle_degrees_t5
4861.396208869386,5524.531673547369,609.5600652230269,6.130190309202255,303.8655580105457,278.2026743266846,5.192179679345157,0.8800304541262978,8.827305933759767,1.4961535480948758,37.60298334324217
5904.149928728823,4788.344566101707,736.842961683493,292.0057474125556,697.6365229520646,295.6399555953168,7.273988355184441,1.2328793822346509,13.775029074018798,2.3347506905116604,58.05747558835644
2462.1514220258,7415.064209293974,573.1442115077178,806.6611801389033,73.10104925468808,104.3814153456103,1.9606723505749362,0.3323173475550739,5.906591467696951,1.0011171979147375,3.844382132358446
3043.177058043235,5419.509706032533,56.186252549874304,748.6808693619303,611.3056283025105,289.5157271900903,3.314414471671811,0.5617651646901375,8.581595534720597,1.4545077177492536,62.564906330881804
2076.6019526133305,772.1140559670237,435.93059414794254,12.51237534877514,122.3804116123065,330.6382870433673,15.829478805040079,2.682962509328827,33.06848724877305,5.604828347249669,93.94802485473251
7678.878456129842,6315.958862642701,646.8439929871198,461.6638011321006,786.6731302542785,195.9030385633114,7.172555459905487,1.2156873660856757,12.39291171940426,2.100493511763434,45.822786004929995
5760.857960782511,1581.46290290894,533.0140486961456,485.38017495015373,666.2244534791652,309.84934837983457,21.46264321252538,3.6377361377161654,39.73849909879187,6.735338830303706,50.460869858378686
9740.416942328045,5403.991249396239,314.3912999276688,119.6560076290587,820.0295688415143,17.266991826693058,10.631820416974884,1.8020034605042174,15.46763101010098,2.6216323745933865,7.223808865023812
7578.7719596025245,5457.7064172273585,833.4697671566195,394.2571535382398,915.3081568436585,330.57345490143285,8.1916974002729,1.3884232881818475,15.210232723278803,2.5780055463184413,57.02364966504731
7439.238581308734,7173.296616768767,975.3059479184694,751.4224445638035,60.26817333635093,53.52181991673993,6.1186444728496046,1.0370583852287465,11.185873173987808,1.8959107074555606,49.85411230617
7766.492251439567,6094.014180875809,716.9821454808089,93.65356643717493,525.5141504564898,77.24773646858854,7.518434913154283,1.2743110022295394,11.843354800965518,2.0073482713500876,35.062275004144645
